D0001	1	31.7	57623	15768	15.20	10.74	51.41	60.4	2.36	457	30.92
D0002	1	35.5	84935	16954	13.60	9.73	51.34	66.5	5.40	282	26.24
D0003	1	32.8	83656	15532	25.00	8.82	53.03	28.8	7.02	47	46.36
D0004	1	34.5	61249	14820	15.00	9.67	51.15	62.4	2.36	185	32.92
D0005	1	31.7	75725	11120	33.00	7.08	50.76	17.6	2.91	141	67.67
D0006	1	33.5	75887	12015	27.10	9.48	53.25	28.1	7.98	266	47.43
D0007	1	32.7	76073	15162	18.00	11.95	51.66	190.8	4.81	560	38.44
D0008	1	34.8	40498	13887	18.80	10.52	52.77	62.1	6.15	218	45.36
D0009	1	36.3	56386	13936	15.40	9.29	50.82	35.8	5.61	51	53.61
D0010	1	34.0	52230	14036	18.60	9.48	51.41	47.8	3.58	296	34.19
D0011	1	32.9	81367	13423	25.00	9.94	52.54	17.6	4.16	29	52.13
D0012	1	31.7	87444	13750	24.40	8.79	52.18	22.4	5.07	105	42.87
D0013	1	34.1	63458	14168	15.60	8.58	50.71	23.2	5.00	203	40.94
D0014	1	34.1	79268	17318	14.90	10.40	50.99	60.5	5.72	357	37.19
D0015	1	35.7	71629	15705	15.30	11.87	51.97	88.0	5.43	330	54.40
D0016	1	34.5	49065	12876	27.40	8.90	52.67	16.6	3.62	171	50.02
D0017	1	36.2	104307	13921	21.60	11.67	52.74	35.7	4.82	239	35.84
D0018	1	35.9	77907	13247	22.80	8.99	52.61	22.1	10.07	165	45.44
D0019	1	34.8	67879	15261	15.40	10.07	51.40	94.4	6.43	247	35.98
D0020	1	29.1	43261	14569	17.20	10.15	49.65	88.9	4.71	201	32.29
D0021	1	31.1	68101	13574	34.20	10.31	54.38	48.9	5.48	794	56.38
D0022	1	34.9	64579	14294	17.30	9.26	51.71	71.9	7.10	104	38.20
D0023	1	32.9	55540	14789	15.90	10.45	49.22	84.3	5.29	357	30.52
D0024	1	33.9	90379	13184	24.40	11.08	50.63	38.0	2.72	161	37.50
D0025	1	36.0	69920	15324	17.90	12.35	52.60	186.8	9.34	616	48.43
D0026	1	35.6	83058	13404	18.60	9.34	52.22	28.8	11.16	113	45.22
D0027	1	35.8	107673	14777	18.10	8.84	52.18	44.7	7.39	99	50.20
D0028	1	36.4	89634	15339	19.40	10.52	51.80	41.8	3.49	142	36.71
D0029	1	31.3	27496	11165	38.80	6.01	54.17	15.8	5.10	416	79.18
D0030	1	31.8	65003	11509	31.40	6.96	53.35	24.7	9.94	122	57.80
D0031	1	35.4	99412	14658	19.10	9.33	52.73	27.8	5.06	183	43.15
D0032	1	33.1	107388	17412	18.00	9.94	52.50	143.5	2.59	587	29.76
D0033	1	34.6	65230	15484	16.10	11.11	51.68	45.3	2.97	250	56.19
D0034	1	34.1	131030	19892	18.60	12.71	53.24	589.7	5.30	740	42.12
D0035	1	34.7	90707	16058	13.90	11.24	52.23	122.0	6.67	283	47.21
D0036	1	32.0	32426	13763	17.80	7.19	50.80	46.4	3.82	108	54.91
D0037	1	26.2	72622	14458	18.50	8.10	50.18	146.8	4.36	609	38.80
D0038	1	32.8	43175	16384	14.60	8.31	50.09	99.8	3.88	189	37.45
D0039	1	28.9	37611	11402	35.30	11.53	53.59	40.1	8.12	669	82.78
D0040	1	31.9	69070	21029	12.90	10.50	50.74	310.9	2.48	722	36.14
D0041	1	32.5	98897	13908	28.40	9.44	52.76	23.8	5.62	387	50.09
D0042	1	35.7	106725	13238	18.00	9.49	51.01	40.1	6.03	71	46.47
D0043	1	35.3	100160	15857	14.70	10.25	52.16	129.3	4.60	381	39.01
D0044	1	31.9	72077	15569	24.30	10.95	52.56	314.7	4.53	709	38.22
D0045	1	31.4	76753	13997	21.60	8.75	51.67	23.4	5.38	164	39.73
D0046	1	31.6	107844	19618	20.40	10.63	52.83	270.9	5.42	631	43.34
D0047	1	33.6	73523	18164	12.90	9.74	51.27	177.8	5.76	443	34.31
D0048	1	30.2	62737	10986	42.40	7.97	53.52	17.2	9.76	402	63.86
D0049	1	34.3	74484	12687	25.70	8.45	53.20	23.7	7.70	181	46.46
